loss_history;ece;nll;mse;accuracy;entropy;auc;f1;classes
2,3067;0,02943408083417632;0,07350819936063364;0,0161;0,992 0,0005061546265632266;0,26684027263328614  0,010998144843538742;1,0;0,9919;25
2,9645;0,03734066248096911;0,06765385410756324;0,0175;0,988 0,0002750451130266729;0,4076346822964856  0,4385048250607399;1,0;0,9879;50
3,3568;0,04130071047779605;0,08917961261782086;0,0179;0,992 0,00018682996521834916;0,5188228288714372  0,46778851270826544;0,9999;0,9919;75
3,6341;0,030243514135696016;0,051649597701500086;0,0078;0,996 6,08661900249885e-05;0,40802095209860095  0,3477439347075653;0,9999;0,996;100
3,8557;0,04514476918715628;0,07845043613620009;0,0133;0,9952 8,369332760471693e-05;0,5574712686391771  0,42261686008160787;0,9999;0,9952;125
4,0408;0,03824646165243593;0,0909277814422027;0,0199;0,9893 0,00010408219453061918;0,5003510595961085  0,48487471957260503;0,9999;0,9892;150
4,1946;0,03509941907822543;0,09253623623219319;0,0208;0,9863 9,305414132243506e-05;0,4909355096376448  0,5655544914655792;0,9999;0,986;175
4,3285;0,03894942301717682;0,09637957320045541;0,02;0,988 7,847381315917445e-05;0,589457453618258  0,6932498040022488;0,9996;0,9879;200
4,453;0,042155180180988405;0,13693203887632435;0,0304;0,9849 0,00010576421042940432;0,6585818064923378  0,7971020362839105;0,9997;0,9846;225
4,5552;0,028738138035848463;0,11776728794531391;0,0282;0,9816 8,839389940118458e-05;0,47739535462494725  0,7911470237034024;0,9997;0,9811;250
4,6597;0,024337324232010526;0,14702451331789318;0,0382;0,976 0,00010877375512463594;0,4354567847195054  0,9686989748942816;0,9997;0,975;275
4,7479;0,029732742904226766;0,19470778756677645;0,0452;0,9733 0,0001181441914026582;0,572507767091129  0,9971904061425062;0,9994;0,9727;300
4,8278;0,03410737387007484;0,18107499252675333;0,0437;0,9766 0,00010545920161764144;0,6067137935580256  1,0278415884803291;0,9995;0,9765;325
4,9042;0,03080378048266951;0,18936508969497917;0,0462;0,9731 0,00010347628814177945;0,6157786641722977  1,1426593519164685;0,9995;0,9719;350
TODO;TODO;TODO;TODO;TODO;TODO;TODO;TODO;375
TODO;TODO;TODO;TODO;TODO;TODO;TODO;TODO;400
TODO;TODO;TODO;TODO;TODO;TODO;TODO;TODO;425
TODO;TODO;TODO;TODO;TODO;TODO;TODO;TODO;450
TODO;TODO;TODO;TODO;TODO;TODO;TODO;TODO;475
TODO;TODO;TODO;TODO;TODO;TODO;TODO;TODO;500
5,3099;0,03663040868077219;0,21846454250492917;0,0482;0,9695 7,19194158402825e-05;0,8384423663112193  1,2765305790914103;0,9992;0,9693;525
